time,Bz,Dens,Speed,Temp,Pdyn,Kp,Scalar_B,BZ_omni,flux,N_thermal,N_scint,N_rad,N_total_raw,N_total,storm_flag,SNR_lin,SNR_dB,SNR_dB_ml,data_loss_pct,storm_risk
2026-03-27 23:35:00,-4.31,0.11,396.87,59997.0,0.028933814890530006,,5.0,,0.0,8.283476925444e-12,1.7325637659000005e-14,0.0,8.300802563102999e-12,8.300802563102999e-12,False,0.12047027891555835,-9.191200841684536,-9.175364923791925,62.922983443553555,MODERATE
2026-03-27 23:36:00,-4.21,0.1,400.87,59904.0,0.026836358402300007,,5.0,,0.0,8.270636894207999e-12,1.6069675690000004e-14,0.0,8.286706569898e-12,8.286706569898e-12,False,0.12067520329880692,-9.183819608624864,-9.167397887896179,62.839302962313724,MODERATE
2026-03-27 23:37:00,-4.29,0.1,400.25,64985.0,0.026753410437500003,,5.0,,0.0,8.972144407219999e-12,1.602000625e-14,0.0,8.98816441347e-12,8.98816441347e-12,False,0.11125742187151835,-9.536710080294345,-9.52191014369429,66.48224374235612,MODERATE
2026-03-27 23:38:00,-4.17,0.1,387.07,23669.0,0.0250204718783,,5.0,,0.0,3.2678569819879996e-12,1.498231849e-14,0.0,3.2828393004779995e-12,3.2828393004779995e-12,False,0.3046143622852311,-5.162496239343958,-5.2003433268922326,22.10004891823531,NONE
2026-03-27 23:39:00,-4.22,0.1,388.63,32263.0,0.025222557242300003,,5.0,,0.0,4.454386320076e-12,1.5103327690000002e-14,0.0,4.4694896477660004e-12,4.4694896477660004e-12,False,0.22373919145328666,-6.50257935701775,-6.510263550896432,33.84114437482176,LOW
2026-03-27 23:40:00,-4.51,0.1,393.33,42818.0,0.025836317646300004,,5.0,,0.0,5.911660832935999e-12,1.5470848890000003e-14,0.0,5.927131681825999e-12,5.927131681825999e-12,False,0.16871567120167733,-7.7284457597448615,-7.718249785437413,46.83454936040645,LOW
2026-03-27 23:41:00,-4.43,0.1,383.89,23032.0,0.024611045860700002,,5.0,,0.0,3.1799096712639997e-12,1.473715321e-14,0.0,3.1946468244739997e-12,3.1946468244739997e-12,False,0.31302364703949725,-5.044228528981282,-5.085011624402174,21.219502759289984,NONE
2026-03-27 23:42:00,-4.38,0.1,389.39,38450.0,0.025321303540700002,,5.0,,0.0,5.3085935593999994e-12,1.5162457210000003e-14,0.0,5.323756016609999e-12,5.323756016609999e-12,False,0.18783730826131445,-7.262181438973105,-7.257175473295769,41.720177840062824,LOW
2026-03-27 23:43:00,-4.35,0.1,390.09,31820.0,0.025412424752700002,,5.0,,0.0,4.393223590639999e-12,1.5217020810000002e-14,0.0,4.408440611449999e-12,4.408440611449999e-12,False,0.22683758002834603,-6.442849945457186,-6.452156238621365,33.2582088218786,LOW
2026-03-27 23:44:00,-4.29,0.1,386.89,38543.0,0.0249972066407,,5.0,,0.0,5.321433590636e-12,1.496838721e-14,0.0,5.336401977846e-12,5.336401977846e-12,False,0.18739218000283456,-7.272485364604011,-7.266715991783816,41.82460238703341,LOW
2026-03-27 23:45:00,-4.23,0.1,386.81,54608.0,0.024986870008700004,,5.0,,0.0,7.539445438016e-12,1.4962197610000004e-14,0.0,7.554407635626e-12,7.554407635626e-12,False,0.13237305269099822,-8.782004156419617,-8.762913662495155,58.49946155126608,MODERATE
2026-03-27 23:46:00,-4.24,0.1,387.28,54020.0,0.025047628332799998,,5.0,,0.0,7.45826330504e-12,1.499857984e-14,0.0,7.47326188488e-12,7.47326188488e-12,False,0.13381037830658832,-8.735102014673892,-8.7162288560197,57.988540453119214,MODERATE
2026-03-27 23:47:00,-4.27,0.1,392.85,50715.0,0.025773297457500007,,5.0,,0.0,7.001958969179999e-12,1.5433112250000006e-14,0.0,7.0173920814299995e-12,7.0173920814299995e-12,False,0.14250308211312324,-8.461757424607578,-8.4450519142784,54.99016578734345,LOW
2026-03-27 23:48:00,-4.33,0.1,390.56,45667.0,0.025473697971200006,,5.0,,0.0,6.305007596283999e-12,1.5253711360000002e-14,0.0,6.320261307643999e-12,6.320261307643999e-12,False,0.15822130626000486,-8.00735034314325,-7.993531927684182,49.92723423781834,LOW
2026-03-27 23:49:00,-4.35,0.1,387.25,35044.0,0.025043747937500003,,5.0,,0.0,4.838344673487999e-12,1.4996256250000003e-14,0.0,4.853340929737999e-12,4.853340929737999e-12,False,0.20604363354584768,-6.860408000116238,-6.861431365310926,37.464141354166294,LOW
2026-03-27 23:50:00,-4.36,0.1,397.84,51246.0,0.0264322031552,,5.0,,0.0,7.075271405591999e-12,1.5827666559999998e-14,0.0,7.091099072151999e-12,7.091099072151999e-12,False,0.14102186273594414,-8.507135530925394,-8.491216607993326,55.50379454163746,MODERATE
2026-03-27 23:51:00,-4.23,0.1,388.88,69163.0,0.025255018284800004,,5.0,,0.0,9.548979358876e-12,1.5122765440000003e-14,0.0,9.564102124316e-12,9.564102124316e-12,False,0.10455764555854923,-9.80644204812005,-9.79164477338579,69.13077244527979,MODERATE
2026-03-27 23:52:00,-4.28,0.1,385.3,31130.0,0.024792167030000003,,5.0,,0.0,4.29795884276e-12,1.4845609000000003e-14,0.0,4.31280445176e-12,4.31280445176e-12,False,0.23186768868964436,-6.347597671079582,-6.357856327287664,32.323058718116776,LOW
2026-03-27 23:53:00,-3.79,0.1,381.41,32853.0,0.024294089212700008,,5.0,,0.0,4.535844582755999e-12,1.4547358810000006e-14,0.0,4.550391941565999e-12,4.550391941565999e-12,False,0.21976128932222352,-6.580488056084059,-6.584623662764782,34.59432557409853,LOW
2026-03-27 23:54:00,-3.83,0.4,387.48,30004.0,0.10029402126720002,,5.0,,0.0,4.1424978194079995e-12,6.005630016000002e-14,0.0,4.2025541195679995e-12,4.2025541195679995e-12,False,0.23795053473405234,-6.235133148963762,-6.246989374062836,31.241462287910426,LOW
2026-03-27 23:55:00,-4.08,0.1,392.33,44937.0,0.025705112426300004,,5.0,,0.0,6.204220254323999e-12,1.5392282890000002e-14,0.0,6.2196125372139985e-12,6.2196125372139985e-12,False,0.16078171976416045,-7.937633303192369,-7.92441460402798,49.14974626622178,LOW
2026-03-27 23:56:00,-4.15,0.1,388.45,39032.0,0.025199198217500003,,5.0,,0.0,5.388947303263999e-12,1.5089340250000002e-14,0.0,5.404036643513999e-12,5.404036643513999e-12,False,0.1850468577410951,-7.327182852097214,-7.320706080764771,42.41689976765723,LOW
