time,Bz,Dens,Speed,Temp,Pdyn,Kp,Scalar_B,BZ_omni,flux,N_thermal,N_scint,N_rad,N_total,SNR_lin,SNR_dB,storm_flag,data_loss_pct
2026-03-28 07:04:00,-4.65,0.16,380.56,19932.0,0.03869748411392,,5.0,,1.6100360653581446e-07,1.38064852e-14,2.337177968301082e-11,0.0,2.338558616821082e-11,4.180834080390252,6.21262932582519,False,0.19999536333093515
2026-03-28 07:05:00,-4.62,0.45,401.74,67316.0,0.12128836324140001,,5.0,,2.012545081697681e-07,1.38064852e-14,2.3461566603763522e-11,0.0,2.347537308896352e-11,4.1648435265092285,6.19598689572305,False,0.20334479809913925
2026-03-28 07:06:00,-4.65,0.59,407.9,75196.0,0.16393658857299995,,5.0,,1.6100360653581446e-07,1.38064852e-14,2.3731322483010818e-11,0.0,2.3745128968210817e-11,4.117528937107545,6.146366599807037,False,0.2136672517832264
2026-03-28 07:07:00,-4.73,0.32,392.55,34328.0,0.08234863653600001,,5.0,,1.2075270490186084e-07,1.38064852e-14,2.3901232362258114e-11,0.0,2.3915038847458113e-11,4.088275008273742,6.115401020382604,False,0.22037227823501976
2026-03-28 07:08:00,-4.73,0.34,389.5,38127.0,0.08614107995000002,,5.0,,8.050180326790722e-08,1.38064852e-14,2.3914860241505408e-11,0.0,2.3928666726705408e-11,4.085946649624311,6.1129269173229925,False,0.22091697100628874
2026-03-28 07:09:00,-4.76,0.3,397.1,61900.0,0.07900189341000002,,5.0,,4.025090163395362e-08,1.38064852e-14,2.4038260120752704e-11,0.0,2.4052066605952703e-11,4.064983572669845,6.0905879487147585,False,0.22589628952822988
2026-03-28 07:10:00,-4.82,0.32,392.27,48273.0,0.08223120234976,,5.0,,0.0,1.38064852e-14,2.43510528e-11,0.0,2.4364859285199998e-11,4.012797878186315,6.034472851763912,False,0.2389037419562682
2026-03-28 07:11:00,-4.87,0.21,384.09,25303.0,0.05173706242466999,,5.0,,0.0,1.38064852e-14,2.45113178e-11,0.0,2.45251242852e-11,3.986575338211843,6.005999757943621,False,0.24578687846275862
2026-03-28 07:12:00,-4.64,0.13,386.5,36532.0,0.032430886475000004,,5.0,,0.0,1.38064852e-14,2.3300489999999998e-11,0.0,2.3314296485199997e-11,4.193618096262275,6.2258887767012645,False,0.19736623735273987
2026-03-28 07:13:00,-3.95,0.14,388.09,40738.0,0.03521351768578,,5.0,,0.0,1.38064852e-14,1.9858665199999998e-11,0.0,1.9872471685199997e-11,4.9199343287918085,6.9195930584994505,False,0.09872563729824417
2026-03-28 07:14:00,0.94,0.8250000000000001,385.03,49007.66666666667,0.20424882101497502,,5.0,,0.0,1.38064852e-14,5.3352995e-12,0.0,5.3491059852e-12,18.27805541944278,12.619299897825066,False,0.00033075487382834155
2026-03-28 07:15:00,0.89,1.51,381.97,57277.333333333336,0.3679187557055301,,5.0,,0.0,1.38064852e-14,5.6035494e-12,0.0,5.6173558852e-12,17.405209433063654,12.406792534218955,False,0.00040906911170186566
2026-03-28 07:16:00,0.82,0.57,357.59,65547.0,0.12172003185038997,,5.0,,0.0,1.38064852e-14,4.5076525999999996e-12,0.0,4.5214590851999995e-12,21.623828458824573,13.349325874593793,False,0.00015938987987219213
2026-03-28 07:17:00,-0.95,0.39,357.6,83521.0,0.08328678508800001,,5.0,,0.0,1.38064852e-14,5.028928e-12,0.0,5.0427344852e-12,19.388539279414584,12.875450908328954,False,0.0002560127570571742
2026-03-28 07:18:00,-2.21,0.27,363.22,84584.0,0.05948668167156002,,5.0,,0.0,1.38064852e-14,1.1246138799999999e-11,0.0,1.12599452852e-11,8.683102196816941,9.386749125339628,False,0.008382050008120954
2026-03-28 07:19:00,-2.89,0.18,369.96,59870.5,0.04114324272096,,5.0,,0.0,1.38064852e-14,1.45831856e-11,0.0,1.45969920852e-11,6.698041286265387,8.259478201733875,False,0.02587270372509198
